source,country,bias,factual_reporting,press_freedom,media_type,popularity,mbfc_credibility_rating
butlercountytimesgazette.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
c-span.org,usa,least biased,very high,mostly free,tv station,high traffic,high credibility
somdnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
canoncitydailyrecord.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
capecodtimes.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
capecoralbreeze.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
capitolfax.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
carrollconews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
trib.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
castanet.net,canada,least biased,high,mostly free,website,high traffic,high credibility
tucsonlocalmedia.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
cbslocal.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
cdt.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
opensecrets.org,usa,least biased,very high,mostly free,organization/foundation,medium traffic,high credibility
csis.org,usa,least biased,very high,mostly free,organization/foundation,medium traffic,high credibility
myeasternshoremd.com,usa,left-center,high,mostly free,newspaper,minimal traffic,high credibility
chandlernews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
postregister.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
channelnewsasia.com,singapore,least biased,high,limited freedom,tv station,high traffic,high credibility
charitynavigator.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
chathamhouse.org,united kingdom,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
timesfreepress.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
thelandmark.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
chicoer.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
chinookobserver.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
chippewa.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
csmonitor.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility
citynews.ca,canada,least biased,high,mostly free,radio station,high traffic,high credibility
clarindaherald.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
cctimesdemocrat.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
claytodayonline.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
claytonrecord.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
columbustelegram.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
cnet.com,usa,least biased,high,mostly free,website,high traffic,high credibility
ced.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
cpj.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
communityimpact.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
independenttribune.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
concordmonitor.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
congress.gov,usa,least biased,very high,mostly free,organization/foundation,high traffic,high credibility
cbo.gov,usa,least biased,very high,mostly free,organization/foundation (government),medium traffic,high credibility
constitutioncenter.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
consumerreports.org,usa,least biased,high,mostly free,magazine,high traffic,high credibility
cookcountynews-herald.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
cookpolitical.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
corriere.it,italy,least biased,high,moderate freedom,newspaper,high traffic,high credibility
coronavirus.gov,usa,least biased,high,mostly free,organization/foundation,high traffic,high credibility
gazettetimes.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
cfr.org,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
countable.com,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
countryliving.com,usa,least biased,high,mostly free,magazine,high traffic,high credibility
courthousenews.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
courttv.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
covidtracking.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility
cp24.com,canada,least biased,high,mostly free,tv station,high traffic,high credibility
craigdailypress.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
crainscleveland.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility
crainsdetroit.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility
cruxnow.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
ctvnews.ca,canada,least biased,high,mostly free,tv station,high traffic,high credibility
starexponent.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
dccircuitbreaker.org,usa,least biased,high,mostly free,website,minimal traffic,high credibility
dailycamera.com,usa,least biased,high,mostly free,newspaper,mediumtraffic,high credibility
messengernews.net,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
dailyjournalonline.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
dailymaverick.co.za,south africa,least biased,high,mostly free,website,high traffic,high credibility
nonpareilonline.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
dailyrecord.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
godanriver.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
darientimes.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
daytondailynews.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
defensenews.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
defenseone.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
shawlocal.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
delawarelive.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility
dbrnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
dentonrc.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
desmoinesregister.com,usa,least biased,high,mostly free,newspaper,high traffic,high credibility
standaard.be,belgium,least biased,high,mostly free,newspaper,high traffic,high credibility
detik.com,indonesia,least biased,mixed,limited freedom,website,high traffic,high credibility
differencebetween.net,usa,least biased,very high,mostly free,website,medium traffic,high credibility
digi24.ro,romania,least biased,high,moderate freedom,tv station,high traffic,high credibility
digitaljournal.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
qconline.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
dmagazine.com,usa,least biased,high,mostly free,magazine,medium traffic,high credibility
doctorswithoutborders.org,france,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
dodgeglobe.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
dorsetecho.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility
dothaneagle.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
dpa.com,germany,least biased,high,mostly free,news agency,high traffic,high credibility
ladowntownnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
duluthnewstribune.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
eagletribune.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
yourobserver.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
edp24.co.uk,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility
eastidahonews.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
eastvalleytribune.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
eatthis.com,usa,least biased,mixed,mostly free,website,high traffic,high credibility
leadertelegram.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
elkodaily.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
elnuevodia.com,puerto rico/usa,least biased,high,mostly free,newspaper,high traffic,high credibility
yoursun.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
goerie.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
err.ee,estonia,least biased,high,excellent,tv station,high traffic,high credibility
dailypress.net,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
echo-news.co.uk,united kingdom,least biased,high,mostly free,newspaper,medium traffic,high credibility
eurasiagroup.net,usa,left-center,high,mostly free,organization/foundation,minimal traffic,high credibility
times-standard.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
everycrsreport.com,usa,least biased,very high,mostly free,organization/foundation,minimal traffic,high credibility
factcheck.org,usa,least biased,very high,mostly free,organization/foundation,high traffic,high credibility
factwire.org,usa,least biased,high,mostly free,website,minimal traffic,high credibility
fairmontsentinel.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
fayobserver.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
federalnewsnetwork.com,usa,least biased,high,mostly free,radio station,medium traffic,high credibility
ft.com,united kingdom,least biased,high,mostly free,newspaper,high traffic,high credibility
firstcoastnews.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
firstdraftnews.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
sentinelandenterprise.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
floridapolitics.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
jacksonville.com,usa,left-center,high,mostly free,newspaper,medium traffic,high credibility
foreignaffairs.com,usa,least biased,high,mostly free,journal,medium traffic,high credibility
foreignpolicy.com,usa,least biased,high,mostly free,magazine,high traffic,high credibility
messengernews.net,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
ftleavenworthlamp.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
fortmorgantimes.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
fosters.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
fourstateshomepage.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
france24.com,france,least biased,high,mostly free,tv station,high traffic,high credibility
thefranklinnewspost.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
fredericksburg.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
fredericknewspost.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
fremonttribune.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
advocate-news.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
fullfact.org,united kingdom,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
gallup.com,usa,least biased,very high,mostly free,organization/foundation,high traffic,high credibility
gctelegram.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
geek.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility
geekwire.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
gilbertsunnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
sun-courier.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
gladstonedispatch.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
glendalestar.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
postindependent.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
globalintegrity.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
globalslaveryindex.org,australia,least biased,high,mostly free,website,minimal traffic,high credibility
globegazette.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
goodnewsnetwork.org,usa,least biased,high,mostly free,website,medium traffic,high credibility
gao.gov,usa,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
govtrack.us,usa,least biased,high,mostly free,website,medium traffic,high credibility
granitefallsnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
thegraftonnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
theindependent.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
greatfallstribune.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
greenbaypressgazette.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
greenvilleonline.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
ground.news,canada,least biased,mixed,mostly free,website/app,high traffic,high credibility
group30.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
presstelegram.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
ycombinator.com,usa,least biased,mixed,mostly free,website,high traffic,high credibility
hiawathaworldonline.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
hamburgreporter.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
journal-news.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
hanfordsentinel.com,usa,least biased,mixed,mostly free,newspaper,minimal traffic,high credibility
hbr.org,usa,least biased,high,mostly free,magazine,high traffic,high credibility
harvard.edu,usa,least biased,high,mostly free,website,medium traffic,high credibility
hastingstribune.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
hdnews.net,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
herald-review.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
dailybreeze.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
heterodoxacademy.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
hickoryrecord.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
homelandsecuritynewswire.com,usa,least biased,high,mostly free,website,minimal traffic,high credibility
howstuffworks.com,usa,least biased,very high,mostly free,website,high traffic,high credibility
howtogeek.com,usa,least biased,very high,mostly free,website,high traffic,high credibility
i24news.tv,israel,least biased,mixed,moderate freedom,website,medium traffic,medium credibility
idahostatesman.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
inc.com,usa,least biased,high,mostly free,magazine,high traffic,high credibility
helenair.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
ivn.us,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
indexmundi.com,usa,least biased,high,mostly free,website,medium traffic,high credibility
indystar.com,usa,least biased,high,mostly free,newspaper,high traffic,high credibility
dailybulletin.com,usa,least biased,high,mostly free,newspaper,medium traffic,high credibility
iwpr.org,usa,least biased,high,mostly free,organization/foundation,minimal traffic,high credibility
ipi.media,austria,least biased,very high,mostly free,organization/foundation,minimal traffic,high credibility
investing.com,cyprus,least biased,mixed,mostly free,website,high traffic,medium credibility
investopedia.com,usa,least biased,high,mostly free,website,high traffic,high credibility
ipsos.com,france,least biased,high,mostly free,organization/foundation,medium traffic,high credibility
ironmountaindailynews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
jaxdailyrecord.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
japantimes.co.jp,japan,least biased,high,moderate freedom,newspaper,high traffic,high credibility
kaaltv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
abc7.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
kadn.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
kagstv.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
kait8.com,usa,least biased,high,mostly free,tv station,mediumtraffic,high credibility
kalb.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
everythinglubbock.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
myhighplains.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
yaktrinews.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
myarklamiss.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kare11.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
kark.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
katc.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
alaskasnewssource.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
newschannel6now.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
crossroadstoday.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
kbjr6.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
12newsnow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kbtx.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kcbd.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kcci.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
thedenverchannel.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
kcentv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
newspressnow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kcrg.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
q13fox.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kcra.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
kctv5.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
wyomingnewsnow.tv,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
cw33.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
cbs4local.com,usa,right-center,high,mostly free,tv station,medium traffic,high credibility
fox4news.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
kdrv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kdvr.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kearneyhub.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
keloland.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kens5.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
myeasternshoremd.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
turnto23.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kesq.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
ketk.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
ketv.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
blackhillsfox.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
keyc.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
cbsaustin.com,usa,right-center,high,mostly free,tv station,medium traffic,high credibility
keyt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
keysnews.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
kezi.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
newschannel10.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
cbs8.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
nwahomepage.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kfvs12.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kfyrtv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kget.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
hawaiinewsnow.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
kgns.tv,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
yourcentralvalley.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kgw.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
wyomingnewsnow.tv,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
4029tv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
khits.com,usa,least biased,high,mostly free,radio station,minimal traffic,high credibility
khon2.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
khou.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
actionnewsnow.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
cw39.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
myfoxzone.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
kiem-tv.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
localnews8.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kiiitv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
knopnews2.com,usa,least biased,high,mostly free,tv station,minimal traffic,high credibility
kimt.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
king5.com,usa,least biased,high,mostly free,tv station,high traffic,high credibility
kion546.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kiowacountysignal.com,usa,least biased,high,mostly free,newspaper,minimal traffic,high credibility
kiplinger.com,usa,least biased,high,mostly free,magazine,high traffic,high credibility
kiro7.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kitv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
kivitv.com,usa,least biased,high,mostly free,tv station,medium traffic,high credibility
